# hostname;interval;timestamp;pswpin/s;pswpout/s;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
pes;1;2020-05-26 12:09:38 UTC;0.00;0.00;0.00;211120.00;13.00;0.00;118.00;0.00;0.00;0.00;0.00;24545164;41308132;62.73;778352;34326108;15103244;11.37;31200452;8582820;4933532;4647464;1101328;26048;29836;0
pes;6;2020-05-26 12:09:44 UTC;0.00;0.00;0.00;103100.81;23.34;0.00;34.36;0.00;0.00;0.00;0.00;24546272;41307024;62.73;778352;34326044;15103244;11.37;31199520;8582652;4297512;4647092;1101460;25824;29884;0
pes;1;2020-05-26 12:09:45 UTC;0.00;0.00;0.00;161744.00;4.00;0.00;213.00;0.00;0.00;0.00;0.00;24546720;41306576;62.73;778352;34326044;15103244;11.37;31199520;8582652;4136376;4647092;1101012;25824;29884;0
pes;1;2020-05-26 12:09:46 UTC;0.00;0.00;0.00;94216.00;43.00;0.00;111.00;0.00;0.00;0.00;0.00;24546272;41307024;62.73;778352;34326044;15103244;11.37;31199520;8582652;4041836;4647092;1101460;25824;29884;0
pes;1;2020-05-26 12:09:47 UTC;0.00;0.00;0.00;127932.00;98.00;0.00;144.00;0.00;0.00;0.00;0.00;24546272;41307024;62.73;778352;34326044;15103244;11.37;31199520;8582652;3914316;4647092;1101460;25824;29884;0
pes;1;2020-05-26 12:09:48 UTC;0.00;0.00;0.00;96264.00;4.00;0.00;106.00;0.00;0.00;0.00;0.00;24546272;41307024;62.73;778352;34326044;15103244;11.37;31199520;8582652;3818304;4647092;1101460;25824;29884;0
pes;1;2020-05-26 12:09:49 UTC;0.00;0.00;0.00;87000.00;56.00;0.00;119.00;0.00;0.00;0.00;0.00;24546272;41307024;62.73;778352;34326044;15103244;11.37;31199520;8582652;3731056;4647092;1101460;25824;29884;0
pes;1;2020-05-26 12:09:50 UTC;0.00;0.00;0.00;129156.00;523.00;0.00;318.00;0.00;0.00;0.00;0.00;24546272;41307024;62.73;778352;34326044;15103244;11.37;31199764;8582652;3601868;4647336;1101460;25824;29884;0
pes;1;2020-05-26 12:09:51 UTC;0.00;0.00;0.00;96152.00;420.00;0.00;214.00;0.00;0.00;0.00;0.00;24546272;41307024;62.73;778352;34326044;15103244;11.37;31199764;8582652;3505432;4647336;1101460;25824;29884;0
pes;1;2020-05-26 12:09:52 UTC;0.00;0.00;0.00;129032.00;45.00;0.00;109.00;0.00;0.00;0.00;0.00;24546272;41307024;62.73;778352;34326044;15103244;11.37;31199764;8582652;3377108;4647336;1101460;25824;29884;0
pes;1;2020-05-26 12:09:53 UTC;0.00;0.00;0.00;96168.00;15.00;0.00;119.00;0.00;0.00;0.00;0.00;24546272;41307024;62.73;778352;34326044;15103244;11.37;31199764;8582652;3280656;4647336;1101460;25824;29884;0
pes;1;2020-05-26 12:09:54 UTC;0.00;0.00;0.00;129032.00;8.00;0.00;106.00;0.00;0.00;0.00;0.00;24545812;41307484;62.73;778352;34326044;15103244;11.37;31199764;8582652;3151664;4647336;1101460;25824;29884;0
pes;1;2020-05-26 12:09:55 UTC;0.00;0.00;0.00;95252.00;70.00;0.00;138.00;0.00;0.00;0.00;0.00;24545812;41307484;62.73;778352;34326044;15103244;11.37;31199764;8582652;3056396;4647336;1101460;25824;29884;0
pes;2;2020-05-26 12:09:58 UTC;0.00;0.00;0.00;116011.29;25.81;0.00;61.69;0.00;0.00;0.00;0.00;24546520;41306776;62.73;778352;34326428;15103244;11.37;31199832;8582764;2769356;4647172;1101208;25856;29884;0
