Workload,Timestamp,CPU,Mem,Set
fft0_5_run,1590499658,248.51,0.39,set5
fft0_5_run,1590499659,390.00,0.53,set5
fft0_5_run,1590499660,315.00,0.62,set5
fft0_5_run,1590499661,472.00,0.99,set5
fft0_5_run,1590499662,157.00,1.08,set5
fft0_5_run,1590499663,145.00,1.45,set5
fft0_5_run,1590499664,141.00,1.45,set5
fft0_5_run,1590499665,119.00,2.05,set5
fft0_5_run,1590499666,214.00,2.06,set5
fft0_5_run,1590499667,95.00,2.06,set5
fft0_5_run,1590499668,263.00,2.62,set5
fft0_5_run,1590499669,306.00,2.88,set5
fft0_5_run,1590499670,139.00,2.88,set5
fft0_5_run,1590499671,236.00,2.88,set5
fft0_5_run,1590499672,200.00,2.88,set5
fft0_5_run,1590499673,102.00,2.88,set5
fft0_5_run,1590499674,106.00,3.63,set5
fft0_5_run,1590499675,163.00,3.63,set5
fft0_5_run,1590499676,184.00,3.63,set5
fft0_5_run,1590499677,147.00,3.63,set5
fft0_5_run,1590499678,128.00,3.63,set5
fft0_5_run,1590499679,104.00,3.63,set5
fft0_5_run,1590499680,137.00,3.63,set5
fft0_5_run,1590499681,100.00,3.63,set5
fft0_5_run,1590499682,187.00,3.63,set5
fft0_5_run,1590499683,124.00,3.70,set5
fft0_5_run,1590499684,115.00,3.70,set5
fft0_5_run,1590499685,109.00,3.70,set5
fft0_5_run,1590499686,112.00,3.70,set5
fft0_5_run,1590499687,121.00,4.46,set5
fft0_5_run,1590499688,129.00,4.46,set5
fft0_5_run,1590499689,114.00,4.46,set5
fft0_5_run,1590499690,67.00,4.46,set5
fft0_5_run,1590499691,104.00,4.46,set5
fft0_5_run,1590499692,186.00,4.51,set5
fft0_5_run,1590499693,128.00,4.51,set5
fft0_5_run,1590499694,109.00,4.92,set5
fft0_5_run,1590499695,128.00,5.23,set5
fft0_5_run,1590499696,113.00,5.23,set5
fft0_5_run,1590499697,109.00,5.23,set5
fft0_5_run,1590499698,120.00,5.23,set5
fft0_5_run,1590499699,133.00,5.30,set5
fft0_5_run,1590499700,99.00,5.30,set5
randsample_run,1590500243,247.52,0.41,set5
randsample_run,1590500244,369.00,0.54,set5
randsample_run,1590500245,353.00,0.61,set5
randsample_run,1590500246,254.00,0.64,set5
randsample_run,1590500247,227.72,0.72,set5
randsample_run,1590500248,149.00,0.82,set5
randsample_run,1590500249,163.00,0.89,set5
randsample_run,1590500250,146.00,0.90,set5
randsample_run,1590500251,152.00,0.94,set5
randsample_run,1590500252,152.00,0.94,set5
randsample_run,1590500253,162.00,0.96,set5
randsample_run,1590500254,148.00,0.96,set5
randsample_run,1590500255,158.00,1.09,set5
randsample_run,1590500256,157.00,1.09,set5
randsample_run,1590500257,155.00,1.09,set5
randsample_run,1590500258,171.00,1.11,set5
randsample_run,1590500259,65.00,1.11,set5
cc_prep,1590499469,249.50,0.40,set5
grep_prep,1590499721,0.00,0.00,set5
grep_prep,1590499722,0.00,0.00,set5
grep_prep,1590499723,0.00,0.00,set5
grep_prep,1590499724,0.00,0.00,set5
grep_prep,1590499725,0.00,0.00,set5
grep_prep,1590499726,0.00,0.00,set5
grep_prep,1590499727,0.00,0.00,set5
grep_prep,1590499728,0.00,0.00,set5
grep_prep,1590499729,0.00,0.00,set5
grep_prep,1590499730,0.00,0.00,set5
grep_prep,1590499731,0.00,0.00,set5
grep_prep,1590499732,0.00,0.00,set5
grep_prep,1590499733,1.00,0.00,set5
grep_prep,1590499734,0.00,0.00,set5
grep_prep,1590499735,0.00,0.00,set5
grep_prep,1590499736,0.00,0.00,set5
grep_prep,1590499737,0.00,0.00,set5
grep_prep,1590499738,0.00,0.00,set5
grep_prep,1590499739,0.00,0.00,set5
grep_prep,1590499740,0.00,0.00,set5
grep_prep,1590499741,0.00,0.00,set5
grep_prep,1590499742,0.00,0.00,set5
grep_prep,1590499743,0.00,0.00,set5
grep_prep,1590499744,0.00,0.00,set5
wc_prep,1590500720,264.36,0.40,set5
matmult0_5_run,1590499923,205.94,0.29,set5
matmult0_5_run,1590499924,185.00,0.47,set5
matmult0_5_run,1590499925,232.00,0.61,set5
matmult0_5_run,1590499926,160.00,0.74,set5
matmult0_5_run,1590499927,262.00,0.77,set5
matmult0_5_run,1590499928,292.00,0.84,set5
matmult0_5_run,1590499929,255.00,0.86,set5
matmult0_5_run,1590499930,182.00,0.92,set5
matmult0_5_run,1590499931,59.00,0.92,set5
fft0_5_prep,1590499639,239.00,0.40,set5
sort_prep,1590500294,258.42,0.35,set5
md5_prep,1590499969,0.00,0.00,set5
md5_prep,1590499970,0.00,0.00,set5
md5_prep,1590499971,0.00,0.00,set5
md5_prep,1590499972,0.00,0.00,set5
md5_prep,1590499973,0.00,0.00,set5
md5_prep,1590499975,0.00,0.00,set5
md5_prep,1590499975,0.00,0.00,set5
md5_prep,1590499976,0.00,0.00,set5
md5_prep,1590499977,0.00,0.00,set5
md5_prep,1590499978,0.00,0.00,set5
md5_prep,1590499979,0.00,0.00,set5
md5_prep,1590499980,0.00,0.00,set5
md5_prep,1590499981,0.00,0.00,set5
md5_prep,1590499982,0.00,0.00,set5
md5_prep,1590499983,0.00,0.00,set5
md5_prep,1590499986,0.00,0.00,set5
md5_prep,1590499987,0.00,0.00,set5
md5_prep,1590499988,0.00,0.00,set5
md5_prep,1590499989,0.00,0.00,set5
md5_prep,1590499990,0.00,0.00,set5
md5_prep,1590499991,0.00,0.00,set5
md5_prep,1590499992,0.00,0.00,set5
md5_prep,1590499993,0.00,0.00,set5
md5_prep,1590499994,0.00,0.00,set5
md5_prep,1590499995,0.00,0.00,set5
md5_prep,1590499996,0.00,0.00,set5
md5_prep,1590499997,0.00,0.00,set5
md5_prep,1590499998,0.00,0.00,set5
md5_prep,1590499999,0.00,0.00,set5
md5_prep,1590500000,0.00,0.00,set5
md5_prep,1590500001,0.00,0.00,set5
md5_prep,1590500002,0.00,0.00,set5
md5_prep,1590500003,0.00,0.00,set5
md5_prep,1590500004,0.00,0.00,set5
md5_prep,1590500005,0.00,0.00,set5
md5_prep,1590500006,0.00,0.00,set5
md5_prep,1590500007,0.00,0.00,set5
md5_prep,1590500008,0.00,0.00,set5
md5_prep,1590500009,0.00,0.00,set5
md5_prep,1590500010,0.00,0.00,set5
md5_prep,1590500011,0.00,0.00,set5
md5_prep,1590500012,0.00,0.00,set5
md5_prep,1590500013,0.00,0.00,set5
md5_prep,1590500014,0.00,0.00,set5
md5_prep,1590500015,0.00,0.00,set5
md5_prep,1590500016,0.00,0.00,set5
md5_prep,1590500017,0.00,0.00,set5
md5_prep,1590500018,0.00,0.00,set5
md5_prep,1590500019,0.00,0.00,set5
md5_prep,1590500020,0.00,0.00,set5
md5_prep,1590500021,0.00,0.00,set5
md5_prep,1590500022,0.00,0.00,set5
md5_prep,1590500023,0.00,0.00,set5
md5_prep,1590500024,0.00,0.00,set5
md5_prep,1590500025,0.00,0.00,set5
md5_prep,1590500026,0.00,0.00,set5
md5_prep,1590500027,0.00,0.00,set5
md5_prep,1590500028,0.00,0.00,set5
md5_prep,1590500029,0.00,0.00,set5
md5_prep,1590500030,0.00,0.00,set5
md5_prep,1590500031,0.00,0.00,set5
md5_prep,1590500032,0.00,0.00,set5
md5_prep,1590500033,0.00,0.00,set5
md5_prep,1590500034,0.00,0.00,set5
md5_prep,1590500035,0.00,0.00,set5
md5_prep,1590500036,0.00,0.00,set5
md5_prep,1590500037,0.00,0.00,set5
md5_prep,1590500038,0.00,0.00,set5
md5_prep,1590500039,0.00,0.00,set5
md5_prep,1590500040,0.00,0.00,set5
md5_prep,1590500041,0.00,0.00,set5
md5_prep,1590500042,0.00,0.00,set5
md5_prep,1590500043,0.00,0.00,set5
md5_prep,1590500044,0.00,0.00,set5
md5_prep,1590500045,0.00,0.00,set5
md5_prep,1590500046,0.00,0.00,set5
md5_prep,1590500047,0.00,0.00,set5
md5_prep,1590500048,0.00,0.00,set5
md5_prep,1590500049,0.00,0.00,set5
md5_prep,1590500050,0.00,0.00,set5
md5_prep,1590500051,0.00,0.00,set5
md5_prep,1590500052,0.00,0.00,set5
md5_prep,1590500053,0.00,0.00,set5
md5_prep,1590500054,0.00,0.00,set5
md5_run,1590500123,254.46,0.40,set5
md5_run,1590500124,376.00,0.54,set5
md5_run,1590500125,188.00,0.54,set5
md5_run,1590500126,150.00,0.55,set5
md5_run,1590500127,176.00,0.55,set5
md5_run,1590500128,122.00,0.55,set5
md5_run,1590500129,108.00,0.55,set5
md5_run,1590500130,103.00,0.55,set5
md5_run,1590500131,96.00,0.55,set5
md5_run,1590500132,104.00,0.55,set5
md5_run,1590500133,110.00,0.55,set5
md5_run,1590500134,102.00,0.55,set5
md5_run,1590500135,104.00,0.56,set5
md5_run,1590500136,105.00,0.56,set5
md5_run,1590500137,103.00,0.56,set5
md5_run,1590500138,105.00,0.57,set5
md5_run,1590500139,103.00,0.57,set5
md5_run,1590500140,126.00,0.59,set5
md5_run,1590500141,103.00,0.59,set5
md5_run,1590500142,101.00,0.59,set5
md5_run,1590500143,107.00,0.59,set5
md5_run,1590500144,104.00,0.59,set5
md5_run,1590500145,103.00,0.59,set5
md5_run,1590500146,111.00,0.59,set5
md5_run,1590500147,68.00,0.59,set5
md5_run,1590500148,101.00,0.59,set5
md5_run,1590500149,100.00,0.59,set5
md5_run,1590500150,105.00,0.59,set5
md5_run,1590500151,102.00,0.59,set5
md5_run,1590500152,108.00,0.59,set5
md5_run,1590500153,102.00,0.59,set5
md5_run,1590500154,109.00,0.59,set5
md5_run,1590500155,99.00,0.59,set5
md5_run,1590500156,106.00,0.59,set5
md5_run,1590500157,94.00,0.59,set5
md5_run,1590500158,99.00,0.59,set5
md5_run,1590500159,105.00,0.59,set5
md5_run,1590500160,81.00,0.60,set5
matmult0_5_prep,1590499904,206.93,0.42,set5
sort_run,1590500358,271.29,0.73,set5
sort_run,1590500359,269.00,0.82,set5
sort_run,1590500360,133.00,0.82,set5
sort_run,1590500361,109.00,0.92,set5
sort_run,1590500362,117.00,0.92,set5
sort_run,1590500363,136.00,0.93,set5
sort_run,1590500364,145.00,0.98,set5
sort_run,1590500365,143.00,0.98,set5
sort_run,1590500366,101.00,0.98,set5
